="",="b/se",="b/se"
="rta",="-0.8492***",="-0.0943**"
="",="(0.0995)",="(0.0312)"
="lndist",="-1.0639***",=""
="",="(0.0562)",=""
="contig",="-0.1727",=""
="",="(0.1686)",=""
="comlang_off",="-0.3048*",=""
="",="(0.1308)",=""
="colony",="-0.0200",=""
="",="(0.1595)",=""
="_cons",="11.9153***",="2.5605***"
="",="(0.5050)",="(0.0126)"
="",="b/se",="b/se"
="rta",="-0.6463***",="-0.0898"
="",="(0.0954)",="(0.0480)"
="lndist",="-1.0894***",=""
="",="(0.0516)",=""
="contig",="0.1025",=""
="",="(0.2037)",=""
="comlang_off",="-0.1930",=""
="",="(0.1413)",=""
="colony",="-0.2265",=""
="",="(0.1849)",=""
="_cons",="12.0738***",="2.6929***"
="",="(0.4596)",="(0.0203)"
="",="b/se",="b/se"
="rta",="-0.6267***",="-0.0418"
="",="(0.0862)",="(0.0291)"
="lndist",="-0.8564***",=""
="",="(0.0505)",=""
="contig",="-0.1973",=""
="",="(0.1447)",=""
="comlang_off",="-0.2454*",=""
="",="(0.1084)",=""
="colony",="0.0643",=""
="",="(0.1383)",=""
="_cons",="10.5989***",="3.0736***"
="",="(0.4531)",="(0.0117)"
="",="b/se",="b/se"
="rta",="-0.5115***",="-0.0301"
="",="(0.0699)",="(0.0262)"
="lndist",="-0.7820***",=""
="",="(0.0403)",=""
="contig",="-0.1607",=""
="",="(0.1281)",=""
="comlang_off",="-0.1415",=""
="",="(0.0996)",=""
="colony",="0.0448",=""
="",="(0.1122)",=""
="_cons",="9.5180***",="2.7163***"
="",="(0.3590)",="(0.0105)"
="",="b/se",="b/se"
="rta",="-0.7911***",="0.0114"
="",="(0.0938)",="(0.0411)"
="lndist",="-1.0588***",=""
="",="(0.0481)",=""
="contig",="0.3330*",=""
="",="(0.1524)",=""
="comlang_off",="-0.2944*",=""
="",="(0.1215)",=""
="colony",="-0.0388",=""
="",="(0.1442)",=""
="_cons",="11.1050***",="1.8804***"
="",="(0.4309)",="(0.0187)"
="",="b/se",="b/se"
="rta",="-0.6459***",="-0.0291"
="",="(0.0886)",="(0.0300)"
="lndist",="-1.0440***",=""
="",="(0.0488)",=""
="contig",="0.0185",=""
="",="(0.1474)",=""
="comlang_off",="-0.2068",=""
="",="(0.1083)",=""
="colony",="-0.0566",=""
="",="(0.1279)",=""
="_cons",="11.7313***",="2.6401***"
="",="(0.4372)",="(0.0124)"
="",="b/se",="b/se"
="rta",="-0.5654***",="0.0815"
="",="(0.1012)",="(0.0512)"
="lndist",="-0.9733***",=""
="",="(0.0542)",=""
="contig",="0.2960",=""
="",="(0.1788)",=""
="comlang_off",="-0.3032*",=""
="",="(0.1492)",=""
="colony",="0.0106",=""
="",="(0.1674)",=""
="_cons",="11.2849***",="2.8416***"
="",="(0.4814)",="(0.0207)"
="",="b/se",="b/se"
="rta",="-0.4340***",="-0.0469*"
="",="(0.0712)",="(0.0239)"
="lndist",="-0.8269***",=""
="",="(0.0427)",=""
="contig",="-0.0798",=""
="",="(0.1308)",=""
="comlang_off",="-0.1134",=""
="",="(0.0955)",=""
="colony",="-0.1944",=""
="",="(0.1094)",=""
="_cons",="10.5868***",="3.4307***"
="",="(0.3828)",="(0.0094)"
="",="b/se",="b/se"
="rta",="-0.5451***",="-0.0386"
="",="(0.0774)",="(0.0286)"
="lndist",="-0.9699***",=""
