="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.8492***",="-0.0943**",="-1.2552***",="0.0872*"
="",="(0.0995)",="(0.0312)",="(0.0825)",="(0.0381)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.6463***",="-0.0898",="-1.1549***",="-0.0640*"
="",="(0.0954)",="(0.0480)",="(0.0825)",="(0.0255)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.6267***",="-0.0418",="-1.0551***",="0.1649***"
="",="(0.0862)",="(0.0291)",="(0.0995)",="(0.0324)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.5115***",="-0.0301",="-0.9152***",="0.0335"
="",="(0.0699)",="(0.0262)",="(0.0612)",="(0.0204)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.7911***",="0.0114",="-1.7712***",="0.0534**"
="",="(0.0938)",="(0.0411)",="(0.0459)",="(0.0191)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.6459***",="-0.0291",="-1.6354***",="0.0121"
="",="(0.0886)",="(0.0300)",="(0.0715)",="(0.0188)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.5654***",="0.0815",="-1.3219***",="0.2176***"
="",="(0.1012)",="(0.0512)",="(0.0685)",="(0.0292)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.4340***",="-0.0469*",="-1.0298***",="0.1015***"
="",="(0.0712)",="(0.0239)",="(0.0435)",="(0.0173)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.5451***",="-0.0386",="-1.2313***",="0.0435*"
="",="(0.0774)",="(0.0286)",="(0.0379)",="(0.0204)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.8353***",="-0.0276",="-2.2836***",="0.1454***"
="",="(0.0974)",="(0.0353)",="(0.0720)",="(0.0222)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.3962***",="-0.0375",="-1.0405***",="-0.1120***"
="",="(0.0741)",="(0.0383)",="(0.0524)",="(0.0191)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.7059***",="-0.0546",="-1.5405***",="0.1056***"
="",="(0.0838)",="(0.0305)",="(0.0380)",="(0.0159)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.5466***",="0.0126",="-0.9578***",="0.0012"
="",="(0.0680)",="(0.0270)",="(0.0347)",="(0.0162)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.3711***",="-0.0212",="-0.3743***",="0.1183***"
="",="(0.0707)",="(0.0379)",="(0.0448)",="(0.0135)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.4496***",="0.0313",="-1.0323***",="0.2808***"
="",="(0.0738)",="(0.0325)",="(0.0465)",="(0.0185)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.5339***",="-0.0448",="-1.0690***",="0.0843***"
="",="(0.0794)",="(0.0392)",="(0.0627)",="(0.0228)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="-0.6491***",="-0.0356",="-1.1416***",="0.0517*"
="",="(0.0826)",="(0.0331)",="(0.0656)",="(0.0218)"
