"0.2599***"	"-0.0864***"	"0.0425***"
"(0.0106)"	"(0.0106)"	"(0.0112)"
"0.2542***"	"-0.0392*"	"0.1577***"
"(0.0186)"	"(0.0201)"	"(0.0212)"
"0.1119***"	"-0.1566***"	"-0.0463***"
"(0.0085)"	"(0.0086)"	"(0.009)"
"0.3022***"	"0.1266***"	"0.3808***"
"(0.0144)"	"(0.0149)"	"(0.0148)"
"0.0112"	"0.0704***"	"0.1036***"
"(0.0104)"	"(0.0104)"	"(0.011)"
"0.1031***"	"0.0607***"	"0.123***"
"(0.0106)"	"(0.0098)"	"(0.0104)"
"0.4518***"	"0.3078***"	"0.5488***"
"(0.022)"	"(0.023)"	"(0.0232)"
"0.3546***"	"0.157***"	"0.3077***"
"(0.0113)"	"(0.0122)"	"(0.0124)"
"0.5357***"	"0.3103***"	"0.4891***"
"(0.0093)"	"(0.009)"	"(0.009)"
"0.1827***"	"0.1924***"	"0.219***"
"(0.0096)"	"(0.0097)"	"(0.0099)"
"0.1955***"	"-0.0274**"	"0.1408***"
"(0.0138)"	"(0.0137)"	"(0.0142)"
"0.3111***"	"0.2273***"	"0.3156***"
"(0.0078)"	"(0.0081)"	"(0.0083)"
"0.2858***"	"0.1813***"	"0.2786***"
"(0.0116)"	"(0.011)"	"(0.0115)"
"0.3521***"	"0.3177***"	"0.5739***"
"(0.0196)"	"(0.0211)"	"(0.0205)"
"0.2814***"	"0.2524***"	"0.3463***"
"(0.0123)"	"(0.0136)"	"(0.0148)"
"0.2844***"	"0.3655***"	"0.391***"
"(0.0138)"	"(0.0139)"	"(0.014)"
"0.4826***"	"0.0895***"	"0.3086***"
"(0.017)"	"(0.0178)"	"(0.0183)"
