="",="b/se",="b/se"
="main",="",=""
="rta",="0.1320***",="-0.0497**"
="",="(0.0102)",="(0.0161)"
="",="b/se",="b/se"
="main",="",=""
="rta",="0.0737***",="-0.0340*"
="",="(0.0177)",="(0.0169)"
="",="b/se",="b/se"
="main",="",=""
="rta",="0.0046",="0.1184***"
="",="(0.0081)",="(0.0134)"
="",="b/se",="b/se"
="main",="",=""
="rta",="0.1065***",="0.0540***"
="",="(0.0152)",="(0.0123)"
="",="b/se",="b/se"
="main",="",=""
="rta",="-0.0027",="0.4278***"
="",="(0.0099)",="(0.0191)"
="",="b/se",="b/se"
="main",="",=""
="rta",="0.0583***",="0.0199"
="",="(0.0100)",="(0.0155)"
="",="b/se",="b/se"
="main",="",=""
="rta",="0.2654***",="0.2253***"
="",="(0.0217)",="(0.0195)"
="",="b/se",="b/se"
="main",="",=""
="rta",="0.2276***",="0.0613***"
="",="(0.0116)",="(0.0109)"
="",="b/se",="b/se"
="main",="",=""
="rta",="0.3882***",="0.0950***"
="",="(0.0099)",="(0.0141)"
="",="b/se",="b/se"
="main",="",=""
="rta",="0.1672***",="0.1259***"
="",="(0.0098)",="(0.0193)"
="",="b/se",="b/se"
="main",="",=""
="rta",="0.0523***",="0.0953***"
="",="(0.0137)",="(0.0127)"
="",="b/se",="b/se"
="main",="",=""
="rta",="0.2408***",="0.0949***"
="",="(0.0079)",="(0.0140)"
="",="b/se",="b/se"
="main",="",=""
="rta",="0.2069***",="0.0782***"
="",="(0.0122)",="(0.0107)"
="",="b/se",="b/se"
="main",="",=""
="rta",="0.1750***",="-0.0405*"
="",="(0.0215)",="(0.0165)"
="",="b/se",="b/se"
="main",="",=""
="rta",="0.2143***",="0.0983***"
="",="(0.0120)",="(0.0148)"
="",="b/se",="b/se"
="main",="",=""
="rta",="0.2792***",="0.1171***"
="",="(0.0137)",="(0.0157)"
="",="b/se",="b/se"
="main",="",=""
="rta",="0.2761***",="0.0511***"
="",="(0.0174)",="(0.0150)"
