="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="-0.0790",="-0.0508"
="",="",="(0.0444)",="(0.0452)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="-0.1168***",="-0.0938**"
="",="",="(0.0306)",="(0.0312)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="-0.0625",="-0.0478"
="",="",="(0.0455)",="(0.0458)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="-0.0222",="0.0194"
="",="",="(0.0302)",="(0.0303)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="0.0401",="0.0471"
="",="",="(0.0253)",="(0.0255)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="-0.0084",="0.0077"
="",="",="(0.0244)",="(0.0245)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="0.0069",="0.0316"
="",="",="(0.0433)",="(0.0440)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="-0.0281",="-0.0054"
="",="",="(0.0308)",="(0.0313)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="-0.0515*",="-0.0279"
="",="",="(0.0249)",="(0.0256)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="0.0670**",="0.0627*"
="",="",="(0.0248)",="(0.0253)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="-0.0550*",="-0.0312"
="",="",="(0.0270)",="(0.0271)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="-0.0232",="-0.0053"
="",="",="(0.0183)",="(0.0185)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="-0.0235",="-0.0083"
="",="",="(0.0242)",="(0.0246)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="0.0839**",="0.1179***"
="",="",="(0.0284)",="(0.0277)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="-0.0234",="-0.0058"
="",="",="(0.0297)",="(0.0297)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="0.0743**",="0.0762**"
="",="",="(0.0279)",="(0.0281)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="f3rta",="",="-0.0949**",="-0.0654*"
="",="",="(0.0305)",="(0.0304)"
