="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="0.0799",="0.1768***",="0.1001"
="",="(0.0456)",="(0.0417)",="(0.0605)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="0.0436",="0.1052**",="0.0539"
="",="(0.0467)",="(0.0323)",="(0.0554)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="0.0669",="0.1264**",="0.0872"
="",="(0.0449)",="(0.0408)",="(0.0593)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="-0.0056",="0.0852**",="-0.0104"
="",="(0.0327)",="(0.0285)",="(0.0421)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="0.0810***",="0.0905***",="0.0709*"
="",="(0.0239)",="(0.0232)",="(0.0321)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="0.0752**",="0.1179***",="0.0732*"
="",="(0.0261)",="(0.0241)",="(0.0333)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="0.1780**",="0.2518***",="0.1735*"
="",="(0.0551)",="(0.0394)",="(0.0703)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="0.1398***",="0.1968***",="0.1407**"
="",="(0.0339)",="(0.0281)",="(0.0462)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="0.1425***",="0.2158***",="0.1481***"
="",="(0.0311)",="(0.0249)",="(0.0414)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="0.1558***",="0.1322***",="0.1436***"
="",="(0.0290)",="(0.0250)",="(0.0375)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="-0.0111",="0.0517",="-0.0072"
="",="(0.0343)",="(0.0268)",="(0.0433)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="0.1181***",="0.1730***",="0.1189***"
="",="(0.0232)",="(0.0180)",="(0.0283)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="0.1178***",="0.1564***",="0.1187**"
="",="(0.0296)",="(0.0240)",="(0.0391)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="0.1217***",="0.1819***",="0.1152**"
="",="(0.0311)",="(0.0244)",="(0.0370)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="0.2321***",="0.2748***",="0.2326***"
="",="(0.0327)",="(0.0267)",="(0.0414)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="0.1457***",="0.1389***",="0.1339**"
="",="(0.0320)",="(0.0295)",="(0.0411)"
="",="b/se",="b/se",="b/se"
="X",="",="",=""
="rta",="0.0197",="0.1129***",="0.0330"
="",="(0.0345)",="(0.0278)",="(0.0419)"
