="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.0897",="-0.0842**",="0.0653",="0.1638***"
="",="(0.0908)",="(0.0307)",="(0.1234)",="(0.0268)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.2351**",="-0.0801",="0.1770",="0.1063***"
="",="(0.0862)",="(0.0473)",="(0.0987)",="(0.0228)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.1465",="-0.0362",="-0.6344***",="0.1135***"
="",="(0.0815)",="(0.0287)",="(0.1609)",="(0.0235)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.0893",="-0.0129",="-0.7606***",="0.0826***"
="",="(0.0694)",="(0.0262)",="(0.1122)",="(0.0160)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.1377",="0.0166",="0.3368***",="0.0935***"
="",="(0.0849)",="(0.0397)",="(0.0890)",="(0.0139)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.1930*",="-0.0220",="-0.2706",="0.1169***"
="",="(0.0833)",="(0.0293)",="(0.1414)",="(0.0157)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.2450*",="0.0691",="-0.3404**",="0.2517***"
="",="(0.1036)",="(0.0508)",="(0.1183)",="(0.0242)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.1833**",="-0.0393",="-0.4416***",="0.1959***"
="",="(0.0641)",="(0.0236)",="(0.0868)",="(0.0150)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.2019**",="-0.0212",="-0.1629*",="0.2133***"
="",="(0.0697)",="(0.0285)",="(0.0759)",="(0.0151)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.1830*",="-0.0249",="-0.8163***",="0.1355***"
="",="(0.0913)",="(0.0342)",="(0.1527)",="(0.0162)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.2897***",="-0.0142",="-0.0143",="0.0514**"
="",="(0.0678)",="(0.0378)",="(0.0721)",="(0.0167)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.1659*",="-0.0533",="0.0736",="0.1726***"
="",="(0.0749)",="(0.0302)",="(0.0808)",="(0.0127)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.1294*",="0.0229",="0.0984",="0.1568***"
="",="(0.0608)",="(0.0268)",="(0.0635)",="(0.0148)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.2742***",="-0.0075",="0.2639***",="0.1798***"
="",="(0.0622)",="(0.0386)",="(0.0445)",="(0.0148)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.2804***",="0.0470",="0.0355",="0.2754***"
="",="(0.0625)",="(0.0325)",="(0.0703)",="(0.0165)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.2088**",="-0.0329",="-0.4319***",="0.1420***"
="",="(0.0790)",="(0.0391)",="(0.1209)",="(0.0194)"
="",="b/se",="b/se",="b/se",="b/se"
="main",="",="",="",=""
="rta",="0.0816",="-0.0332",="-0.4806***",="0.1074***"
="",="(0.0805)",="(0.0332)",="(0.1326)",="(0.0173)"
